text,label,channel,source
السلام عليكم ورحمة الله وبركاته حياك الله اخي الفاضل كيف حالك بخير الحمدلله معك فضيلة الشيخ صلاح الدين من السنغال اخي العزيز انا عندي لك رسالة مهم جدا واريد ان اخبرها لك لو سمحت هل ممكن؟ وهي الرسالة كنت اصلي صلوات استخارة فنزل الله سبحانه وتعالي عندي رقم جوالك ورايت بانك الشخص طيب مشاء الله وانت موجود في الدولة العربية امارات صح ورايت لك الارزاق واسع جدا ما يسمي بالكنز والكنز رزق من عند الله تبارك وتعالي يرزق من بعض عباد الله صالحين وصالحات والكنز يتعلق من الذهب والفضة وقيمته اكثر من 66 مليون دينار لاكن متعلق ومقفل بسبب بعض الناس من اقاربك لم يريدون لك الخير لذلك هم اتفقوا عليك وفعلوا فيك سحر اسود واني اقسمت لك يمين بالله العظيم ان لم تقم بدفاع نفسك رح يسبب لك المشاكل والامراض كمثل سكر او سرطان او مرض القلب لا حول والا قوة الا بالله العلي العظيم فاذا انك تريد المساعدة قل يا فضيبة الشيخ والله العظيم ورب الكعبة انا اريد المساعدة,phishing,email,phishing-bilingual.csv
شكرا لك علي ردك ، لم يكن رد nsm المحلي بهذا اللطف انا حريص علي التعلم وانا ممتن لطفك اريد ان اكون جزءا من الحفلة ؛ يمكنني ان اقدم قدرتي الفنية باسلوب الرسم الزيتي الكلاسيكي مثل لوحة durer لكنني لست مهتما بالتصميم بكمال زكاري يونغ,legit,email,legit-bilingual.csv
دام عزك يا وطن جولدن جاردن الرياض للاجنحة الفندقية للحجز <phone>,phishing,sms,Arabic_Spam.csv
ماادري قلت يمكن الافلام صادقين,legit,sms,Arabic_Spam.csv
برياني سبشل اسمه,legit,sms,Arabic_Spam.csv
الاصدقاء 20 نحن نصطدم بكارينا بنايبة كاملة لديها كل الحق و الامتيازات التي تجلبها لذا يرجي تهنيتها عندما تراها بعد ذلك شكرا 20 جوردان كابلان مدير المالية الوطنية اللجنة الوطنية الديمقراطية 202 <phone> س 312 <phone> ج user domain,legit,email,legit-bilingual.csv
عزيزي الطالب، بوابة الطالب الخاصة بك تم توقيعه موخرا من موقع غير معروف من فضلك للتحقق لتجنب اغلاق حسابك انقر هنا,phishing,email,phishing-bilingual.csv
معنا بالاستراحه اكيد صح؟,legit,sms,Arabic_Spam.csv
عزيزي العميل لقد تم ايقاف حسابك البنكي لعدم التحديث لفترة موقتا يرجي الاتصال بنا,phishing,email,phishing-bilingual.csv
الاشعه المقطعيه حقة طلعت سليمه ولله الحمد,legit,sms,Arabic_Spam.csv
لحق تنزيلات ميداس حتي ٥٠٪ مع خصومات اضافية لنهاية العام bit ly sksa,phishing,sms,Arabic_Spam.csv
الحمدلله بخير الله يعافيكم,legit,sms,Arabic_Spam.csv
لا كان صح عليك,legit,sms,Arabic_Spam.csv
قام دانييل ميلان بتحديث حدث السفر في تقويم النشاط الموقت مايو 2728 ، 2014 حتي 28 مايو 2014 طوال اليوم ماركو كاتينو ، ماسيميليانو لوبي تل ابيب ، مناقشة قبول puma انت تتلقي هذا الاشعار لانك تشاهد ما يلي نشاط موقت مرسل بواسطة atlassian confluence 5 4 4 ، enterprise wiki,legit,email,legit-bilingual.csv
دلخال يمدي امر بوثعلي؟,legit,sms,Arabic_Spam.csv
حياكم بمعرض لابونتا للمطابخ والخزاين داخل ميداس الرياض bit ly lpt22,phishing,sms,Arabic_Spam.csv
لتجنب وضع رسايلك الواردة قيد الانتظار او فقدانها بشكل دايم ، نطلب منك تجديد صندوق البريد ، انقر فوق الارتباط ادناه اعادة التحقق,phishing,email,phishing-bilingual.csv
اطلب من متجر الاصيل بكود خصم 20 <url>,phishing,sms,Arabic_Spam.csv
هدية العيد الخاصة بك عند التسوق ب250ر واكثر تطبق الشروط redtag la sp,phishing,sms,Arabic_Spam.csv
كتبت بعض المواصفات اللي تميز الفيه,legit,sms,Arabic_Spam.csv
المحل الي رحناله نحن,legit,sms,Arabic_Spam.csv
لا للمهربين من kanner، fayanne خارج المكالمات ، 09 19 14 04 24 مساء ، بوب هورويتز ، عمل 215 <phone> ،,legit,email,legit-bilingual.csv
بن ، امل ان تسير الجراحة الاسبوع المقبل علي ما يرام راعوث وانا نذهب بعيدا بعد ذلك اسبوع لقضاء عطلة قصيرة الي كولد ستريم علي نهر تويد كان هذا كوخ العطلة ماثيو كان يخطط للذهاب اليه لقضاء شهر العسل ، لكن ازمة الوقود حول وقت زفافه حالت دون ذلك كنا قادرين علي التفاوض علي الكوخ في تاريخ لاحق ، حيث يمكننا استرداد المبلغ او لم يتم الاعلان عن المطالبة بالتامين كحالة طواري وطنية هكذا 1 نوفمبر سنفكر فيك لقد ادرجت من المخططات وساخذ النص عندما ياتي ، لكن لن اتمكن من ارسال اي تعليقات اليك حتي اسبوع 6 تشرين الثاني نوفمبر ارسل توم و تقوم بتحصيل enso والبراكين شعرت مثل كتابة الحبر الاحمر في كل مكان ، لكنه ارسل نشرا قصيرا خاضعا لمراجعة طفيفة الي مايك هذه هي المرة الاولي التي اراجع فيها احدي اوراق توم او اوراقك مرفق نسخة مما ارسلته لقد نسيت التوقيع عليها قبل ارسالها مرة اخري اتمني ان يكون كل شيء جيدا في وقت لاحق الاسبوع المقبل هتافات فيل,legit,email,legit-bilingual.csv
خلهم يكثرون اجازات ماورانا شي الحمدلله ومن غير شر لنا,legit,sms,Arabic_Spam.csv
مالقيت مشروم طلبتلك باربكيو لحم,legit,sms,Arabic_Spam.csv
مرحبا فيل ، يبدو لي ان cru يجب ان تتقاضي منه رسوما مقابل الخدمة لا ينبغي ان يكون تحت افتراض ان له الحق في طلب مسح التقارير نيابة عنه لمجرد نزوة cru يجب ان تتطلب تعويضا نقديا معقولا عن العمل والجهد والطوابع البريدية لقد كان هذا زميلا يتصرف بحسن نية ، واود ان افعل ذلك دون اي تكلفة ولكن بالتاكيد، ليس هو انه غير مهتم بالحقيقة هنا ، انه يبحث فقط عن طريقة اخري للمحاولة لتقويض الثقة في علمنا تقييم henry يبدو مفيدا ويسهل التعامل معه مع سيكون من الممتع روية الاخر الاستعراضات اعتقد انك ستحصل علي اموال من الماسح الخاص بك ، مايك,legit,email,legit-bilingual.csv
قلت بشوف اذا نروح لهم نجيبه,legit,sms,Arabic_Spam.csv
لا يمكن عرض نص البريد بالكامل يمكنك مشاهدته بالنقر هنا,phishing,email,phishing-bilingual.csv
تشكيلة ابيات لرمضان 2019 الان متوفرة <url>,phishing,sms,Arabic_Spam.csv
برسل حاجه وبطلع,legit,sms,Arabic_Spam.csv
عزيزي سامر وردات شكرا علي قبولك طلب الصداقة لقد كنت ابحث عن شخص هذا الاسم لقد دفعت الي الاتصال بك ومعرفة افضل السبل التي يمكننا بها المساعدة بعضنا البعض انا السيد خوسيه فيلوسو، اعمل مدير التدقيق هنا في البنك الوطني الفلبيني اعتقد انها ارادة الله لي ان اتعرف عليك الان لدي مناقشة مهمة في مجال الاعمال وارغب في مشاركتها معك والتي اعتقد انها ستثير اهتمامك لانها تتعلق باسمك الاخير وستستفيد منها مواطن من بدك يدعي جينتيان وردات لديه وديعة ثابتة لدي بنكي، بقيمة 12 500 000 00 دولار امريكي اثنا عشر مليونا وخمساية الف دولار امريكي كان تاريخ استحقاق هذا الايداع العام الماضي للاسف جينتيان الوردات، كان من بين ضحايا الموت في 11 مايو 2012 حادث مميت في الفلبين شارك فيه سبع مركبات مع طريق مدينة باراناك مانيلا الفلبين حيث قتل 35 شخصا علي الفور ادارة البنك الذي اتعامل معه لم تعرف بعد بوفاته، لقد علمت بذلك لانه كان صديقي وكنت مسوول عن حسابه عندما كان الحساب مفتوحا قبل ترقيتي لم يذكر السيد جينتيان الوردات اي من اقرباء وريث عند فتح الحساب ارجوا التواصل معي لتزودك بطريقة تحويل الاموال بما امك الوريث الوحيد من خلال الرابط ادناه,phishing,email,phishing-bilingual.csv
عادي ياقلبي ترا عندي انا,legit,sms,Arabic_Spam.csv
الصلاة بارك الله فيكم,legit,sms,Arabic_Spam.csv
اشترك الان واحصل علي شهرين مجانا استمتع باكبر محتوي من الموسيقي العربية والعالمية مع بيانات مجانية لامحدودة علي انغامي بلس مقابل 25 ريال شهريا للاشتراك اضغط علي الرابط التالي <url> او ارسل 3 الي 702770,phishing,sms,Arabic_Spam.csv
مرحبا انا مدير توظيف في stz بسبب الشواغر سوف ندعوك للعمل بدوام جزيي من المنزل كل ما تحتاجه هو هاتف محمول الراتب 50 3000 ريال سعودي في اليوم انقر فوق الرابط لاضافته تلقاييا t me stzwilliam اتصل بي علي telegram stzwilliam,phishing,sms,Arabic_Spam.csv
قسيمة 250 ريال لكل 1 000 ريال من قسم الاثاث <url>,phishing,sms,Arabic_Spam.csv
عزيز العميل تم حضر بطاقة الصراف الالي الخاصة بك لانك لم يكن لديك حتي الان التحديث اذا كنت تريد عمل بطاقة الصراف الالي الخاصة بك بشكل صحي تواصل مع هذا الرابط,phishing,email,phishing-bilingual.csv
الساعه كم تطلع,legit,sms,Arabic_Spam.csv
اخر ساعات استخدم كود extra10 لخصم اضافي10 علي موقعنا bit ly 3nvzpia,phishing,sms,Arabic_Spam.csv
عزيزي مستخدم البريد الالكتروني تم وضع حساب بريدك الالكتروني قيد التعديل في خادمنا ، يرجي التحقق من الملكية لتجنب اغلاق حساب البريد الالكتروني بالكامل يرجي التفضل بالضغط علي الرابط ادناه لتاكيد ملكية حساب البريد الالكتروني هذا ، شكرا لك فشل التحقق من الحساب ، سنقوم باغلاق حساب البريد الالكتروني هذا دون اشعار اخر انقر هنا للتحقق الان,phishing,email,phishing-bilingual.csv
الاسماء الكاملة الخاصة بك عنوان البريدي رقم هاتفك الفاكس الجنس الوظيفة الحالة الاجتماعية نسخة من بطاقة الهوية الخاصة بك سارية المفعول بمجرد ان اتلقي المعلومات المذكوره اعلاه واختتم بترتيباتي الداخلية ساضع اسمك في قاعدة بيانات البنك لدينا وسابلغك سريعا بالخطوة التالية وساقوم بصياغة خطاب طلب لارساله الي مصرفنا لابلاغهم وفاة السيد الجنطيان والمطالبة بكشف حسابه البنكي وانك من اقربايه اتمني ان تفهمني؟ من فضلك تذكر التعامل مع هذه المعاملة بمنتهي السرية من اجل مصلحتنا وانا في انتظار ردكم العاجل هنا التفاصيل الخاصة بي الاسماء الكاملة جوزيه فيلوسو المهنة بنكر فيجان الفلبين العمر 55 سنة,phishing,email,phishing-bilingual.csv
خاص متقاعد ضاعف ثروتھ خلال شھرین <url>,phishing,sms,Arabic_Spam.csv
مابقي محل ماحطوه فيه,legit,sms,Arabic_Spam.csv
بني تميم وبني مايتسوون عصير والحمدلله الله يحفظنا,legit,sms,Arabic_Spam.csv
يامرحبا وصباحك خير وصباح الجميع يارب,legit,sms,Arabic_Spam.csv
الحمدلله احسن وطيب وبخير الله يدون علينا كلنا العافيه,legit,sms,Arabic_Spam.csv
نقوم بترحيل جميع حسابات البريد الالكتروني الي outlook web app 2019 الجديد ، ويجب علي جميع اصحاب الحساب النشطين الترقية ليصبحوا ساري المفعول تلقاييا يتم ذلك لتحسين الامان والكفاءة بسبب تلقي رسايل البريد العشوايي الاخيرة لتجنب انقطاع الخدمة ، يرجي النقر فوق تسجيل الدخول <http <url> sg 3dafqjcngsimg6ronpahg0ujm4j52t2prilq> لتحديث تسجيل الدخول لترحيل المزيد من رسايل البريد العشوايي وحظرها شكرا لك فريق الامن,phishing,email,phishing-bilingual.csv
هالترم بيشوفون زي قبل الاونلاين,legit,sms,Arabic_Spam.csv
صاحب الهوية 8631 صدر عليكم امر قضايي بانفاذ الاجراءات الواردة في المادة 46 من نظام التنفيذ بناء علي الطلب رقم <phone> في 30 06 1440 يمكنك الاطلاع علي بيانات الطلب من خلال الرابط <url>,phishing,email,phishing-bilingual.csv
مرحبا جوردان ، يرغب فريق التعليم المستمر في الحصول علي علاقة عمل افضل مع الشوون المالية تحقيقا لهذه الغاية ، تود ce ان تلتقي بك للحصول علي موجز عن قسمك وفرص التعاون يرجي اعلامي اذا كنت متواجدا للانضمام الينا في احد اجتماعات تسجيل الوصول هذا الاسبوع او اوايل الاسبوع المقبل شكرا لك يا جوردن الاربعاء 27 ابريل 10 صباحا 11 صباحا الجمعة 28 ابريل 10 صباحا 11 صباحا الاثنين 2 مايو 10 صباحا 11 صباحا المجال << <link> >> جيليان سكوت اللجنة الوطنية الديمقراطية user domain <mailto user domain> <phone>,legit,email,legit-bilingual.csv
عزيزي الزبون، نامل ان تكون مستمتعا بيومك ، فقد لاحظنا عدم اتساق في حسابك في هنتنغتون ، ولزيادة حمايتك ، اغلقنا حسابك وقمنا بتقييد جميع عمليات الوصول والانشطة علي هذا الحساب لرفع هذا التقييد ، نحتاج الي التحقق من بعض بياناتك الشخصية ومطابقتها مع ما لدينا في قاعدة البيانات الخاصة بنا ، يرجي اتباع الرابط ادناه لبدء هذه العملية سيستغرق الامر ثلاث دقايق فقط لاكمال هذه العملية منتجات الاستثمار والتامين والايتمان ليست وديعة؟ غير مومن fdic؟ غير مضمون من قبل البنك؟ غير مومن من قبل اي وكالة حكومية فدرالية؟ قد تفقد القيمة بنك هنتنغتون الوطني هو جهة اقراض مساكن متساوية وعضو في موسسة التامين الفيدرالية شعار هنتنغتون ، هنتنغتون ، شعار هنتنغتون و huntington heads up هي علامات خدمة مسجلة فيدراليا لشركة huntington bancshares incorporated,phishing,email,phishing-bilingual.csv
مقهي يوڤيا في الشيخ اڤنيو يقدم خصم 20 لمنسوبي وطلاب وطالبات الجامعة,phishing,sms,Arabic_Spam.csv
2043 هي كلمة المرور الموقتة، الرجاء استخدامها لاكمال تسجيل الدخول,legit,sms,Arabic_Spam.csv
رقم الدورة 301 تركيز الدورة اتقان التكاليف غالبا ما يتم التعامل مع الاكتشاف الالكتروني علي انه نشاط تفاعلي بدون عمليات محددة وقابلة للتكرار ، مما يودي الي عدم الالتزام بالمواعيد النهايية وفقدان الادلة وسوء الاتصال الذي يمكن ان يودي جميعها الي اضاعة الوقت وزيادة التكاليف الداخلية والعقوبات القانونية المحتملة انشاء واتمتة عمليات سير عمل الاكتشاف الالكتروني القابلة للتكرار تطبيق مبادي ادارة عمليات الاعمال التي يمكن ان تحول عملية الاكتشاف الالكتروني لديك مما يودي الي زيادة الكفاءة والقدرة علي الدفاع ثلاث افضل الممارسات لجعل عملية الاكتشاف الالكتروني الخاصة بك موضع حسد الادارات الاخري,legit,email,legit-bilingual.csv
اقوي عروض جمعة مكعب خصم حتي 60 اطلب الان <url>,phishing,sms,Arabic_Spam.csv
صباح الخير يا صديقي العزيز، انا في انتظار التفاصيل الخاصة بك كما طلبت اذا كنت علي استعداد للتعاون معي حتي اتمكن من اعداد جميع المستندات اللازمة في اسمك قبل المتابعة شكرا لقد اوضحت كل ما تحتاجه لمعرفه حول هذا الموضوع، وانا سعيد للغاية للتعاون معي، الله يبارك فيك وحمايتك من جميع الاضرار، وعدت بانك لن تندم ابدا علي معرفتي بحياتك لانني قادم لمقابلتك جيدا خلال عطلتي بعد استلام صندوقي من الشركة قبل المتابعة، يرجي التكرم بارسال رقم هاتفك المحمول او عنوانك او نسخة من جواز سفرك او اي بطاقة هوية كما طلبت حتي اتمكن من ذلك قم باعداد جميع السمتندات اللزمة، التوكيل الرسمي باسمك حتي يكون لك الحق الكامل كشريك الشرعي في الاتصال بالشركة لاطلاق صندوقي اليك نيابة عني امل ان تبقي كل شي حول هذا الموضوع سرا بيننا لاسباب مضي قدمامنية وانا في انتظار التفاصيل الخاصة بك حتي نتمكن من المضي قدما شكرا وبارك الله فيكم,phishing,email,phishing-bilingual.csv
كلاسي ٨,legit,sms,Arabic_Spam.csv
عيش رمضان مع انغامي حول صفحتك الي صفحتنا الرمضانية واكتشف محتوي مخصصا وفريدا للشهر الكريم من الاناشيد والادعية وغيرها احصل علي اسبوع مجاني من انغامي بلس ارسل ww الي 702770 يتجدد ب 5 ريال اسبوع,phishing,sms,Arabic_Spam.csv
الخدمات المصرفية للافراد بنك الرياض انذار امني عزيزي الزبون، نعلمك انه نظرا لاستمرار صيانة النظام العام في قاعدة بياناتنا المصرفية عبر الانترنت، فانه الزامي عليك التحقق من حساب بنك الرياض الخاص بك من اجل الاستمتاع بخدماتنا المصرفية غبر الانترنت نطلب منك اكمال عملية التحقق السريعة هذه اذا لم يتم ذلك بشكل عاجل قدر الامكان ، فقد يتم الغاء تنشيط حسابك بشكل دايم التحقق عبر الانترنت,phishing,email,phishing-bilingual.csv
ننصح بعدم مشاركة الرمز لحمايتك من الاحتيال الرمز 616513 بطاقة 1375 مبلغ sar 52 52 لدي noon e commerce sol في <phone> 10,legit,sms,Arabic_Spam.csv
ابشر هالحين,legit,sms,Arabic_Spam.csv
يوم جيد لقد وصلنا الي next الرقمي الخاص بنا ، وتم ايقاف موقع الخدمات المصرفية عبر الانترنت القديم جرب موقع الخدمات المصرفية عبر الانترنت الجديد مع ميزة تسجيل الدخول المكونة من خطوتين انقر هنا لتسجيل الدخول والترقية ، سيطلب منك اولا ادخال عنوان بريدك الالكتروني ثم كلمة المرور الخاصة بك علي الشاشة التالية يجب تاكيد رقم الهاتف المسجل لدينا في سجلنا لاننا سنتحقق من خلال ارسال رقم التعريف الشخصي لمرة واحدة للتحقق من صحة التفاصيل الخاصة بك,phishing,email,phishing-bilingual.csv
انشالله شويات وجاي,legit,sms,Arabic_Spam.csv
صدق او لا تصدق نضمن لك افضل سعر <url>,phishing,sms,Arabic_Spam.csv
لا تدخلني ها,legit,sms,Arabic_Spam.csv
ابدا عامك الدراسي حقق اهدافك وواصل العمل والانجاز معا_نبدا وزارة التعليم المعلم ركيزة اساسية في بناء جيل يحقق روية وطنه الطموحة معا_نبدا وزارة التعليم مدرستي ضيف علم ومعرفة في بيوتنا تعرف اكثر <url> تدرب علي ادوات منصة مدرستي التجربة حلوة <url>,phishing,email,phishing-bilingual.csv
قام alessandro scarafile بتحديث حدث في تقويم الاجازات والمغادرة سبتمبر 23 ، 2014 7 00 صباحا حتي 23 سبتمبر 2014 12 00 ظهرا طوال اليوم شخصيا visita medica انت تتلقي هذا الاشعار لانك تشاهد ما يلي الاجازة والمغادرة المرسلة بواسطة atlassian confluence 5 4 4 ، ويكي الموسسة,legit,email,legit-bilingual.csv
ابي شي اكيد,legit,sms,Arabic_Spam.csv
30 ريال في جيبك عميلنا الغالي لانك تستاهل، حبينا نهديك كوبون m30 يعطيك توصيل مجاني وخصم اضافي 30 ريال علي طلبيتك الجاية بحد ادني 180 ريال في السلة الكوبون صالح ل 3 ايام فقط تلحق؟ <url>,phishing,sms,Arabic_Spam.csv
اقرا علي الويب >> << <link> >> دليل الخروج 20 ما يجب القيام به هذا الاسبوع 11 اشياء يجب القيام بها في منطقة العاصمة في الاسبوع من 9 الي 15 مايو قم بجولة في سفارات الاتحاد الاوروبي وفنون الفناء الامامي في foggy bottom بقلم اميلي كوديك وجون تايلور وفريتز هان اقرا المزيد >> << <link>> 93d3cud2fzagluz3rvbnbvc3quy29tl25ld3mvz29pbmctb3v0lwd1awrll3dwlziwmtyvmduvm dkvmtetdghpbmdzlxrvlwrvlwlulxrozs1klwmtyxjlys10agutd2vlay1vzi1tyxktos0xns8_ d3btbt0xjndwaxnyyz1ubf9nb2dtb24 55c8886a6e4adc304b9cf8c1e1ded0636> تقوم الخوادم بسحق العملاء في مذكرة خاصة علي الشيك 8212 ؛ ثم ننسي ان del ete it يبدو ان حادثة بيتر تشانغ في ارلينغتون نابعة من نقاش حول ال طريقة اصلية لتقديم الارز 20 بقلم تيم كارمان اقرا المزيد >> << <link>> 93d3cud2fzagluz3rvbnbvc3quy29tl25ld3mvz29pbmctb3v0lwd1awrll3dwlziwmtyvmduvm dkvc2vydmvycy10cmfzac1jdxn0b21lcnmtaw4tchjpdmf0zs1ub3rllw9ulwnozwnrlxrozw4t zm9yz2v0lxrvlwrlbgv0zs1pdc8_d3btbt0xjndwaxnyyz1ubf9nb2dtb24 55c8886a6e4adc3 04b9cf8c1e4dc7fecb> افضل 10 مطاعم جديدة في توم سيتسيما القرابة ليست كذلك 2 دليل العشاء الربيعي eric ziebold e2 80 99s الاخير هو دافي ومليء بالزبد كما يدور منزله الشهير باركر بقلم توم سيتسيما اقرا المزيد >> << <link>> 93d3cud2fzagluz3rvbnbvc3quy29tl2xpzmvzdhlszs9,legit,email,legit-bilingual.csv
شكرا لتسوقك، اضغط الرابط للاطلاع علي الفاتورة <url>,legit,sms,Arabic_Spam.csv
بعطيك الكود اذا جاء,legit,sms,Arabic_Spam.csv
استمتع باغنية عايض الجديدة الي الله بدون اي اعلانات او قيود مع انغامي بلس، ارسل ww الي 702770 واحصل علي اسبوع مجاني تتجدد الخدمة ب5 ريال بالاسبوع,phishing,sms,Arabic_Spam.csv
قام alessandro scarafile بتحديث حدث في 0001 تقويم tentativepre sales 21 كانون الثاني يناير 2015 العرض التوضيحي طوال اليوم في المملكة المتحدة الوكالة الوطنية لمكافحة الجريمة انت تتلقي هذا الاشعار لانك تشاهد ما يلي 0001 tentativepre sales المرسلة بواسطة atlassian confluence 5 6 3 ، ويكي الموسسة,legit,email,legit-bilingual.csv
شراء عبر نقاط البيع بطاقة 1375 مدي apple pay من 6443 لدي ikea dhahran مبلغ sar 7 00 في <phone> 02,legit,sms,Arabic_Spam.csv
ستنتهي صلاحية كلمة المرور خلال 3 ايام انقر هنا للتحقق من صحة البريد الالكتروني شكرا لك،,phishing,email,phishing-bilingual.csv
عزيزي العميل شكرا لاختيارك خدمات فيديكس للتوصيل، الحزمة الخاصة بك جاهزة للتسليم يرجي تاكيد رسوم الشحن 16 15 درهم اماراتي تاكيد,phishing,email,phishing-bilingual.csv
ربع ساعة وحرك افضل,legit,sms,Arabic_Spam.csv
هذا الرقم السري,legit,sms,Arabic_Spam.csv
الوقت بدل الضايع جاء وقتها تخفيضات ابيات باقي تنتظرك aby at rds3,phishing,sms,Arabic_Spam.csv
لديك الفرصة الاخيرة لانقاذ حياتك الاجتماعية انا لا امزح اعطيك اخر 72 ساعة لتسديد الدفعة قبل ان ارسل فيديو استمارتك الي جميع اصدقايك وشركايك اخر مرة قمت فيها بزيارة موقع ويب جنسي مع مراهقين صغار ، قمت بتنزيل وتثبيت البرنامج الذي قمت بتطويره قام برنامجي بتشغيل الكاميرا الخاصة بك وسجل فعلك الخاص بالاستمناء والفيديو الذي كنت تمارس العادة السرية عليه قام برنامجي ايضا بتنزيل جميع قوايم جهات اتصال البريد الالكتروني وقايمة باصدقايك علي الفيسبوك لدي كل من info mp4 مع استمناء الخاص بك وملف مع جميع جهات الاتصال الخاصة بك علي القرص الصلب الخاص بي انت منحرف جدا اذا كنت تريد مني حذف كلا الملفين والاحتفاظ بالسرية ، فيجب ان ترسل لي دفعة البيتكوين اعطيك اخر 72 ساعة اذا كنت لا تعرف كيفية ارسال البيتكوين جوجل فتفضل بزيارة ارسل 2000 دولار امريكي الي عنوان البيتكوين هذا لي الفور 1 btc 3470 usd ثلاثي الابعاد الان ، لذا ارسل بالضبط 0 583427 btc علي العنوان اعلاه لا تحاول خداعي بمجرد فتح هذا البريد الالكتروني ، ساعرف انك فتحته هذا عنوان البيتكوين مرتبط بك فقط لذلك ساعرف ما اذا كنت قد ارسلت المبلغ الصحيح عندما تدفع بالكامل ، ساقوم بازالة كلا الملفين والغاء تنشيط البرنامج الخاص بي اذا لم ترسل الدفعة ، سارسل فيديو الاستمناء الخاص بك الي جميع اصدقايك وشركايك من قايمة جهات الاتصال الخاصة بك التي اخترقتها ها هي,phishing,email,phishing-bilingual.csv
لا ماوقعت,legit,sms,Arabic_Spam.csv
هذا يكفي عن اللاب اللي منزلته المس؟,legit,sms,Arabic_Spam.csv
ثواني بس,legit,sms,Arabic_Spam.csv
الحمدلله,legit,sms,Arabic_Spam.csv
وواحد منهم ملكي انا اشجعك علي قراءة هذين الحرفين اعتقد هم يصطدمون بالتاكيد هم اطول بكثير من عادة ما تحب الصحف ان تنشر ، وهذا امر جيد يجب ان يعتقد المحرر انه من المهم بما فيه الكفاية امنحنا مساحة اكبر في الواقع لدينا كلمات اكثر من الذي كنا نرد عليه <رابط>> <رابط>> خطاب دويل ميلز هناك حقايق ثم هناك الحقيقة نشرت موخرا رسالة من اثنين من وسايل التواصل الاجتماعي العاملان السيدة جوتمان والسيدة جارفيس حول الموضوع من teenscreen الغريب انه كان بعنوان الحقايق حول برنامج teenscreen اعتقد ان العاملين الاجتماعيين يجب ان يفتحوا ا القاموس والبحث عن الحقيقة بوضوح مع عدم وجود تحقيق خاص بهم ، فهم يقبلون و بث الحقايق التي اعطتها لهم teenscreen واحد من تعريفات الحقايق هو شيء يقال صحيح او من المفترض حدوثه ، كما في هذا مثال الوقايع التي قدمها الشاهد عالية مشكوك فيه ومع ذلك ، فان الجمهور لا يريد ولا يحتاج هذا النوع من الحقايق ليتم تقديمها كحقيقة انهم بحاجة الي حقايق حقيقية ، كما في هذا التعريف شيء الموجود بالفعل ؛ واقع؛ حقيقة رسالة السيدة جوتمان والسيدة جارفيس مليية التاكيدات ، التي لا يمكن اثبات اي منها بالادلة انتج teenscreen دعوي قضايية في ولاية انديانا بسبب مراهقته تم فحصه ووصف بانه مصاب باضطراب عقلي بدون علم والديها teenscreen ترفض الكشف عن هوية المتبرعين الغامضين العديد من اعضاء teenscreen s المجلس,legit,email,legit-bilingual.csv
شوي واحرك,legit,sms,Arabic_Spam.csv
هه الله يحفظك ويصبحك بكل خير لكن ان شاءالله نجتمع علي خير في قابل الايام,legit,sms,Arabic_Spam.csv
