text,label,attack_type
السلام عليكم، باچر نجتمع يم قاعة التدريب بعد العصر، دزلي خبر من توصل.,0,normal
إشعار أمان من بنك النور الرقمي: فشل التحقق من الهوية المصرفية، ادخل https://portal.noor-bank.test/secure-banking/15 وفعّل التحقق البنكي حالًا حتى لا يتجمّد الحساب.,1,bank
قسم الأمان في قسم التحصيل الإلكتروني: الرمز 740276 صالح دقائق معدودة، أرسله الآن ليتم اعتماد المعاملة.,1,otp
Future Gate: مقعد استثماري خاص يبدأ من 15 دولار بعائد متوقع 140% خلال شهر، احجز عبر https://pay.future-gate.example/join-broker قبل 09/12/2026.,1,investment
المستشفى الميداني الحديث: تم ترشيحك إلى مهمة تنسيق فعاليات، أكمل ملفك عبر https://verify.modern-field-hospital.example/apply-fast/71 وسدّد رسوم ملف 280.96 ر.س الآن قبل 9:35 م.,1,job
المحاسب فارس العبد: أرسلت ملاحظات نسخة العرض، نحتاج النسخة النهائية قبل 7:05 ص.,0,normal
مسار لوجستيك: الشحنة بانتظار تخليص جمركي، المطلوب تأكيد نقطة الاستلام عبر https://secure.masar-logistics.test/customs-fee/review حتى لا تُفرض رسوم إضافية.,1,delivery
تم تأكيد الحجز لرحلة يوم 19/07/2026، الوصول إلى المطار قبل 3:35 مساءً.,0,normal
هناك تأكيد دفع ناقص لدى شركة المدار الطبي، ادخل http://join.madar-medical.example/confirm-bill وراجع الفاتورة حالًا.,1,payment
رسالة شحن من أفق للشحن: الشحنة بانتظار تخليص جمركي، ادخل https://app.ufuq-ship.example/pay-fee وادفع رسوم التخليص فورًا خلال ساعتين.,1,delivery
الموضوع: اجتماع الفريق في Teams يوم 27/07/2026 الساعة 9:25 ص لمراجعة نسخة العرض.,0,normal
بنك الهلال التجاري: أضفت مستفيدًا جديدًا من تطبيقك بنجاح عند 7:30 م.,0,normal
تم إنشاء رمز تحقق 365235 لتأكيد المبلغ شاركه مع الموظف عبر https://jobs.united-masraf.example/recover-order لتأكيد العملية.,1,otp
تم اعتماد جائزة نقدية بقيمة 92 دولار لك، لا تخبر أحدًا وأدخل https://pay.winner-zone.example/gift-payout حالًا لتأكيد الاستحقاق قبل انتهاء المهلة.,1,prize
بنك المشرق للأعمال: تم تنفيذ حوالتك بقيمة 2765 درهم بنجاح يوم 19/12/2026.,0,normal
معك موظف تحقق من منصة الاشتراكات الرقمية، أرسل رمز 117225 الآن ليكتمل تحديث الراتب وإلا يتوقف الطلب.,1,otp
عميل بنك النور الرقمي العزيز، فشل التحقق من الهوية المصرفية، حدّث الملف المالي قبل 17/08/2026 من https://id.noor-bank.example/restore-access لمنع تعليق البطاقة.,1,bank
بنك السراج الوطني: سددت القسط الأخير بقيمة 6348 دينار ونشكر التزامك.,0,normal
بنك المشرق للأعمال: أدخل الكود 426955 في https://billing.mashriq-biz-bank.example/recover-order قبل 5:50 م لإتمام تحديث الراتب.,1,otp
معك موظف تحقق من بنك الواحة، أرسل رمز 273120 الآن ليكتمل استعادة الحساب وإلا يتوقف الطلب.,1,otp
فرصة خاصة، ذهبنا للاستثمار يضمن لك 32%، افتح https://app.zahabna.example/profit-access وسجّل استثمارك من 24 ر.س فقط.,1,investment
يا عميل وصل إكسبرس، الطلب محتجز لدى الفرز النهائي، سدّد 457.44 د.أ فورا عبر https://update.wasl-express.example/release-parcel/retail قبل رجوع الشحنة.,1,delivery
إشعار قانوني من MarketHub: لم تكتمل مطابقة السجل الوطني، قدّم الاعتراض من https://app.markethub.example/appeal?ref=802 خلال 12 ساعة.,1,account_suspension
أنا نازل مركز الخدمة، لو ناقص المصروف خبرني الحين.,0,normal
ستريميو: لم تكتمل مطابقة السجل الوطني، أرسل الوثائق المطلوبة عبر https://secure.streamio.example/unlock-profile?ref=650 هسي قبل 6:00 م وإلا سيُحذف الحساب نهائيًا.,1,account_suspension
السلام عليكم، الموعد اتبدل لـ13/10/2026، دزلي خبر إذا مناسب.,0,normal
تنبيه من بوابة التصاريح المدنية، انتهت صلاحية التوثيق السنوي، افتح https://join.civil-permits.example/appeal/35 وفعّل الوصول مرة أخرى حالًا حتى لا تفقد الوصول للملف.,1,account_suspension
بنك الهلال التجاري: تم تنفيذ حوالتك بقيمة 78 دينار بنجاح يوم 16/12/2026.,0,normal
شبكة المدينة اللوجستية: تم ترشيحك إلى فرصة موظف إدخال بيانات، أكمل ملفك عبر https://billing.city-logistics.example/verify-candidate وسدّد رسوم تدريب 21 دينار خلال ساعتين.,1,job
عميل بنك السراج الوطني العزيز، تم تعليق بطاقة الصراف مؤقتًا، ثبّت بياناتك قبل نهاية اليوم من https://id.alsiraj-bank.test/secure-banking/home حتى لا يتم رفض الحوالات.,1,bank
صباح الخير سيف، راه الحفل فـمكتبة الجامعة اليوم مع 9:30 ص، ما تتأخرش.,0,normal
بريد النخبة: مندوبنا سيصل بين 3 و8 مساءً لتسليم الطلب.,0,normal
رجاء مشاركة نسخة العرض قبل اجتماع 2:05 م.,0,normal
يا عميل وصل إكسبرس، طردك متوقف بسبب رسوم معالجة، راجع معلومات الشحنة فورًا عبر https://join.wasl-express.example/track-hold قبل رجوع الشحنة.,1,delivery
إشعار أمان من المصرف المتحد: تم تسجيل دخول من جهاز غير معروف، ادخل https://pay.united-masraf.example/update-kyc وفعّل التحقق البنكي حالًا قبل حجب التحويلات.,1,bank
مسار لوجستيك: تم شحن طلبك وسيظهر التتبع على https://join.masar-logistics.test/track خلال ساعة.,0,normal
إشعار استثماري: عندك أولوية في تخصيص حصري في صندوق الطاقة، أكمل البيانات عبر https://update.gulf-smart-bourse.test/join-broker/home قبل إغلاق المجموعة.,1,investment
مرحبًا، دكتور التسويق الرقمي طلب رفع التقرير النهائي عبر https://app.mashriq-university.example/results قبل 7:50 مساءً.,0,normal
سريع الخليج: الموعد المتوقع للتسليم اليوم عند 5:10 مساءً، راجع الحالة في https://portal.gulf-fast.example/track,0,normal
هالة موبايل: وصلت فاتورة هذا الشهر بقيمة 282 ر.س.,0,normal
بنك الهلال التجاري: تأخر تحديث ملفك البنكي السنوي، وسيُطلب منك تأكيد بياناتك الشخصية عبر https://login.hilal-bank.test/restore-access?ref=656 خلال 45 دقيقة.,1,bank
هلا، بنجتمع بكرة في قاعة التدريب بعد العشاء، علمني إذا وصلت.,0,normal
🎉 تهانينا، فزت بـمكافأة وفاء من حملة رمضانية، الاستلام خلال اليوم فقط من https://billing.gift-center.example/winner-form/case بعد رسم شحن 280.99 ر.س.,1,prize
بريد النخبة: الموعد المتوقع للتسليم اليوم عند 5:15 م.,0,normal
قسم الأمان في سريع الخليج: الرمز 849345 صالح دقائق معدودة، أرسله فورًا ليتم اعتماد المعاملة.,1,otp
جمعية الخريجين: محتاجين اتنين يوصلوا بدري على مكتبة الجامعة قبل 6:40 م.,0,normal
إزيك، لو فاضي بكرة تعال مكتب القسم بعد المغرب ونراجع نسخة العرض.,0,normal
الموضوع: اجتماع الفريق في مكالمة سريعة يوم 17/06/2026 الساعة 2:35 م لمراجعة التقرير النهائي.,0,normal
ShopSquare: تم إيقاف حسابك مؤقتًا لأن تم الإبلاغ عن صفحة المتجر، أكمل الإجراء عبر https://jobs.shopsquare.example/appeal/74 وإلا سيُحذف الحساب نهائيًا.,1,account_suspension
الشحنة الأولى: مندوبنا سيصل بين 4 و6 مساءً لتسليم الطلب.,0,normal
معك الإعلامية نورا السالم من قسم التحصيل دفعة معلقة بقيمة 21 ريال ادخل إلى https://secure.city-fees.example/settle-fee/65 قبل تعليق الخدمه.,1,payment
تنبيه من نور كارجو: فشل التسليم في المحاولة الثانية، ثبّت عنوانك الآن من https://help.noor-cargo.test/track-hold?ref=526 لمنع إعادة الطرد للمرسل.,1,delivery
بنك النور الرقمي: تم وضع حسابك تحت المراجعة، لو سمحت فعّل التحقق البنكي عبر https://pay.noor-bank.example/restore-access?ref=82 خلال 45 دقيقة.,1,bank
تم تأكيد الحجز لرحلة يوم 21/04/2026، الوصول إلى قاعة المعرض قبل 8:40 ص.,0,normal
معك المدير فهد التميمي من Prime Yield، بقيت مقاعد محدودة، ادخل https://app.prime-yield.invalid/profit-access?ref=66 فورًا لتفعيل محفظتك.,1,investment
تذكير من مستشفى الندى: التحاليل مطلوبة قبل زيارة 24/06/2026.,0,normal
عميل المصرف المتحد العزيز، رصدنا عملية شراء غير معتادة، راجع بيناتك الشخصية قبل نهاية اليوم من https://secure.united-masraf.example/restore-access حتى لا يتجمّد الحساب.,1,bank
بنك الروابي: سددت القسط الأخير بقيمة 26 د.أ ونشكر التزامك.,0,normal
بنك المشرق للأعمال: تم وضع حسابك تحت المراجعة، حدّث الملف المالي عبر https://track.mashriq-biz-bank.example/restore-access/home الآن خلال ساعتين.,1,bank
جامعة أفق: تسليم المخطط لمقرر أمن المعلومات يوم 14/03/2026 قبل 6:55 م.,0,normal
إشعار مالي من منصة الهوية الرقمية: تم اعتماد استرداد مالي لكنه بانتظار التفعيل، افتح https://update.digital-id.test/confirm-bill/46 دابا وأكد عملية الدفع.,1,payment
بنك السراج الوطني: أضفت مستفيدًا جديدًا من تطبيقك بنجاح عند 8:55 مساءً.,0,normal
Future Gate: مقعد استثماري خاص يبدأ من 79 دولار بعائد متوقع 41% خلال شهر، احجز عبر https://id.future-gate.test/reserve-seat/home قبل 20/07/2026.,1,investment
إعلان جامعة أفق، محاضرة أمن المعلومات نُقلت إلى المركز التجاري الساعة 9:00 صباحًا.,0,normal
إدارة الجوائز: اسمك ضمن الفائزين بـقسيمة سفر مدفوعة بالكامل، افتح https://jobs.gift-center.example/release-prize/fast فورًا قبل تحويل الجائزة لبديل.,1,prize
قسم الأمان في بريد النخبة: الرمز 652874 صالح دقائق معدودة، أرسله الآن ليتم اعتماد المعاملة.,1,otp
الموضوع: اجتماع الفريق في اجتماع قصير يوم 21/05/2026 الساعة 3:55 م لمراجعة التقرير النهائي.,0,normal
جامعة المشرق: تسليم التقرير النهائي لمقرر المحاسبة يوم 09/04/2026 قبل 10:10 صباحًا.,0,normal
الموارد البشرية في الرؤية الإعلامية: المقابلة اليوم، ثبّت الحجز من https://portal.vision-media.example/training-fee/case بعد رسوم تدريب 4873 د.أ.,1,job
بنك النور الرقمي: أضفت مستفيدًا جديدًا من تطبيقك بنجاح عند 6:45 م.,0,normal
Social Circle: اكتشفنا ملفًا خبيثًا على جهازك، افتح جلسة الدعم من https://id.social-circle.test/support-ticket حالًا لمنع قفل الجهاز.,1,technical_support
شركة ماء المدينة: أدخل الكود 366172 في https://id.city-water.example/verify-otp/home خلال 5 دقائق لإتمام تأكيد المبلغ.,1,otp
سوق المدينة: طلب الاستبدال اتسجل وهيجيلك تأكيد قبل 9:25 م.,0,normal
لا تضيعها، أفق كابيتال فتح باب الربح السريع حالًا، ابدأ من 1824 دولار عبر https://jobs.ufuq-capital.test/activate-portfolio/case.,1,investment
يا شباب هندسة البرمجيات، الدكتور عايز عقد الاجتماع قبل 9:10 ص النهارده.,0,normal
الموضوع: اجتماع الفريق في Zoom يوم 10/05/2026 الساعة 10:45 مساءً لمراجعة نسخة العرض.,0,normal
بنك المشرق للأعمال: تم وضع حسابك تحت المراجعة، ثبّت بياناتك عبر https://portal.mashriq-biz-bank.example/confirm-profile?ref=981 خلال 12 ساعة.,1,bank
قسم الأمان في بنك المشرق للأعمال: الرمز 804856 صالح دقائق معدودة أرسله الآن ليتم اعتماد المعاملة.,1,otp
جامعة أفق: تسليم ملخص النتائج لمقرر اللغة العربية يوم 27/04/2026 قبل 10:55 مساءً.,0,normal
تم تعليق ملفك في ShopSquare، أعد تنشيط الحساب فورًا من https://help.shopsquare.example/verify-id?ref=41 قبل 11:20 صباحًا.,1,account_suspension
لاستلام الخدمة من خدمة الكهرباء المنزلية يلزم تأكيد الرمز 812336 على https://id.home-electric.example/confirm-device/12 قبل 8:45 ص.,1,otp
فرصة عاجلة لدى منصة مهنتي، الراتب يبدأ هذا الأسبوع، أكمل التحقق في https://login.mihnati-hr.example/confirm-file?ref=931 قبل الغاء الترشيح.,1,job
معك المدير فهد التميمي من ذهبنا للاستثمار، بقيت مقاعد محدودة، ادخل https://app.zahabna.example/vip-group/retail حالًا لتفعيل محفظتك.,1,investment
مرحبًا، نؤكد اجتماع المتابعة غدًا في قاعة التدريب عند 8:15 مساءً.,0,normal
موعد الانطلاق إلى قاعة المعرض يوم 26/03/2026 الساعة 8:50 م، لا تتأخر.,0,normal
بريد النخبة: الطلب محتجز لدى الفرز النهائي، المطلوب دفع الرسوم عبر https://support.elite-post.example/pay-fee?ref=241 خلال المهلة المحددة.,1,delivery
فرصة خاصة، سهم برو يضمن لك 8x خلال موسم واحد، افتح https://track.sahm-pro.test/join-broker/44 وسجّل استثمارك من 7783 دينار فقط.,1,investment
إدارة الجوائز: اسمك ضمن الفائزين بـمكافأة وفاء من حملة رمضانية افتح https://verify.promo-club.example/claim-award/fast فورا قبل تحويل الجائزة لبديل.,1,prize
تم اعتماد جائزة نقدية بقيمة 67 دينار لك، لا تخبر أحدًا وأدخل https://login.winner-zone.example/confirm-winner/29 الآن لتأكيد الاستحقاق قبل انتهاء المهلة.,1,prize
الأستاذة سارة المصري: أرسلت ملاحظات ملف المراجعة، نحتاج النسخة النهائية قبل 10:25 ص.,0,normal
أفق للشحن: مندوبنا سيصل بين 1 و8 مساءً لتسليم الطلب.,0,normal
فريق الحي: نحتاج واحد يجيب السماعة للقاء 12:35 م.,0,normal
تنبيه دعم فني: انتهت شهادة الحماية الخاصة بك، افتح https://login.safebox-support.example/scan-device?ref=916 وافتح جلسة الدعم خلال 30 دقيقة لمنع قفل الجهاز.,1,technical_support
بريد النخبة: تم استلام طلب الاسترجاع وسنرسل المندوب غدًا.,0,normal
بنك الهلال التجاري: أضفت مستفيدًا جديدًا من تطبيقك بنجاح عند 12:20 م.,0,normal
فرصة خاصة، Prime Yield يضمن لك 14%، افتح https://support.prime-yield.example/vip-group/retail وسجّل استثمارك من 49.72 دولار فقط.,1,investment
هلا فريق العمل، بدي الكل يراجع ملخص النتائج قبل 3:25 م ونحكي بعدها.,0,normal
